date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-06-11 20:22:21,LOUD,1,Red,20,10,4.0,1.0,11.0,72848,1,Split 2
2022-06-12 15:44:40,FURIA,1,Blue,8,4,1.0,1.0,11.0,57577,1,Split 2
2022-06-12 15:44:40,Liberty,1,Red,4,8,3.0,0.0,3.0,52233,0,Split 2
2022-06-12 17:24:32,KaBuM! e-Sports,1,Blue,16,5,3.0,2.0,10.0,66150,1,Split 2
2022-06-12 17:24:32,Flamengo Los Grandes,1,Red,5,16,2.0,0.0,1.0,50428,0,Split 2
2022-06-12 18:03:47,Miners,1,Blue,23,15,2.0,1.0,8.0,67388,1,Split 2
2022-06-12 18:03:47,INTZ,1,Red,15,23,3.0,0.0,3.0,61433,0,Split 2
2022-06-12 19:08:20,LOUD,1,Blue,11,16,3.0,1.0,5.0,70785,0,Split 2
2022-06-12 19:08:20,paiN Gaming,1,Red,16,11,4.0,1.0,11.0,75005,1,Split 2
2022-06-12 20:20:14,Rensga eSports,1,Blue,6,18,0.0,0.0,3.0,46676,0,Split 2
2022-06-12 20:20:14,RED Canids,1,Red,18,6,4.0,1.0,9.0,57507,1,Split 2
