date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-02-04 18:22:04,INTZ,Split 1,0,10344,3,13,,,
2018-02-04 18:22:04,INTZ,Split 1,0,12846,3,13,,,
2018-02-04 18:22:04,INTZ,Split 1,0,6548,3,13,,,
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,13145,13,3,,,
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,10578,13,3,,,
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,12096,13,3,,,
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,12686,13,3,,,
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,7895,13,3,,,
2018-02-04 18:22:04,INTZ,Split 1,0,50172,3,13,5.0,2.0,0.0
2018-02-04 18:22:04,ProGaming Esports,Split 1,1,56400,13,3,9.0,1.0,1.0
2018-02-17 15:03:00,Vivo Keyd,Split 1,0,17221,8,17,,,
2018-02-17 15:03:00,Vivo Keyd,Split 1,0,10173,8,17,,,
2018-02-17 15:03:00,Vivo Keyd,Split 1,0,12209,8,17,,,
2018-02-17 15:03:00,Vivo Keyd,Split 1,0,12035,8,17,,,
2018-02-17 15:03:00,Vivo Keyd,Split 1,0,7979,8,17,,,
